pid	tag	subtype	desc	verdict	id_or_type	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D00889	state	office	الحرم المكي	NEW:I	NEW:I	المسجد الحرام | الحرم المكي | المسجد المكي	al-Masjid al-Ḥarām | al-Ḥaram al-Makkī	⚠ID-Master に未登録だが wd:Q428858 が既に本プロジェクト内で使用実績あり（ID-Master注記 TMP-I-00120「メッカの المسجد الحرام は wd:Q428858」／TMP-O-00201「D03779(مكة・wd:Q428858)」）。登録時は wd:Q428858 を推奨。D03767「المسجد المكي」と同一実体（同一グループ）。なお本行の state/@ref（職）は الفراش＝#TMP-O-00033 で解決可	"XML: <state type=""office"" ref=""#NEEDID""><label>الفراش</label><placeName ref=""gn:104515"">مكة</placeName><orgName>الحرم المكي</orgName>／corpus D00889「أحمد بن عبد الله بن بلال الفراش والوقاد بالحرم المكي」／ID-Master に المسجد الحرام 行なし（Arabic列検索0件）"	H	G-HARAM
AIND-D00972	placeName	burial	تربة من الصحراء / Turbat min al-Ṣaḥrāʾ	KEEP	KEEP			「（カイロ）砂漠墓地のとある廟」＝不定名詞句（من の分割用法）で特定不能。既登録の تربة 系（I-00093 تربة جمال الدين など）に同定する根拠なし。ar-Latn行と同一判定	corpus D00972「مات في شوال سنة خمس وتسعين بتربة من الصحراء」	H	
AIND-D00991	state	office	قاضي الركب العراقي	NEW:O	NEW:O	قاضي الركب العراقي	qāḍī al-rakb al-ʿIrāqī	イラク巡礼隊（الركب العراقي）に随行するカーディー職。既存 قاضي العسكر(O-00041)・أمير المحمل(O-00158)・أمير الحج(O-00134)と同系の巡礼/隊付き職。汎用 قاض(wd:Q217029) では隊付きの限定が失われる	"XML: <state type=""office"" ref=""#NEEDID""><label>قاضي الركب العراقي</label>／corpus D00991「أحمد بن علي بن أحمد الشهاب البغدادي الشافعي قاضي الركب العراقي ويعرف بابن الدخنة」／ID-Master に「الركب」を含む行なし"	H	
AIND-D00996	state	office	صاحب واسط	EXIST	TMP-O-00163	صاحب (البلد)	Ṣāḥib	"汎用「صاحب＋地名」職。XML では地名が state 内 placeName として分離済のため汎用行が適用可。⚠ただし当該 placeName の ref=""#TMP-L-00092""（イラクのواسط）は誤り：原文は「صاحب واسط من وادي مر」＝メッカ北方ワーディー・マッルの واسط。別 Location（NEW:L واسط (وادي مر)）の発行を推奨（→要判断）"	ID-Master行「Office | صاحب (البلد) | Ṣāḥib | TMP-O-00163 | 出現: D02781(صاحب آمد/صاحب ماردين)・D02946(صاحب الحبشة)」／corpus D00996「أحمد بن علي بن أحمد الحسني الهاشمي المكي الأمير صاحب واسط من وادي مر」	M	
AIND-D01095	state	office	أمين النيل	NEW:O	NEW:O	أمين النيل	amīn al-Nīl	ナイル増水計測（ミクヤース）を管掌する職。世襲の بنو أبي الرداد 家が担った。既存 Office に「النيل」を含む行なし	"XML: <state type=""office"" ref=""#NEEDID""><label>أمين النيل</label>／corpus D01095「ويعرف كسلفه بابن أبي الرداد أحد أمناء النيل」"	H	
AIND-D01134	state	office	دلال الكتب	NEW:O	NEW:O	دلال الكتب	dallāl al-kutub	書籍仲買人。既存の汎用 الدلال(O-00188)・معلم الدلالين(O-00165)・تكسب بالكتب(O-00020) とは対象限定が異なるため別行。D01910「دلال العقارات」と対をなす	"XML: <state type=""office"" ref=""#NEEDID""><label>دلال الكتب</label>／corpus D01134「أخو محمد دلال الكتب」（cf. D01623「ودلال الكتب أبوه」）"	H	
AIND-D01144	state	office	زاوية أبي السعود	NEW:I	NEW:I	زاوية أبي السعود	Zāwiyat Abī al-Suʿūd	"カイロのアブー・アッ＝スウード廟付属ザーウィヤ。⚠XML では orgName に ref=""#TMP-I-00048"" が付されているが、TMP-I-00048 の ID-Master 登録名は「زاوية إبراهيم بن عبد الرحمن بن عبد الله」＝別実体の流用（要是正）。あわせて state/@ref（職）＝نقيب الذكارين は NEW:O（naqīb al-dhakkārīn、ズィクル者たちの取りまとめ役）が必要"	"XML: <state type=""office"" ref=""#NEEDID""><label>نقيب الذكارين</label><orgName ref=""#TMP-I-00048"">زاوية أبي السعود</orgName>／corpus D01144「نقيب الذكارين بزاوية أبي السعود」／ID-Master「Location | زاوية إبراهيم بن عبد الرحمن بن عبد الله | TMP-I-00048」"	H	
AIND-D01257	placeName	ref	فوت	RETAG:S	RETAG:S + NEW:S	فوت | بفوت	fawt | bi-fawt	⚠地名ではない。「سمع … بفوت」は聴聞の様態を示す術語＝「（一部）欠落を伴って聴聞した」。corpus 全体で65件、すべて سمع/قرأ + 書名 の文脈（例 D00101「سمع … السنن للدارقطني بفوت」／D00336「سمع عليه الصحيح بفوت」／D01062「سمع على الزين المراغي الصحيحين بفوت」／D01107「صحيح ابن حبان بفوت قيل إنه أعيد له」）。placeName を削除し Subject（学習様態、TMP-S 系）として登録すべき	"XML: <event type=""learning""><placeName ref=""#NEEDID"">فوت</placeName>／corpus D01257「وسمع من أبي الهول الجزري بفوت وحدث به」／corpus 全体 65 hits はいずれも samāʿ 文脈で地名用法なし"	H	
AIND-D01259	state	office	النقابة	EXIST	TMP-O-00067	نقيب	Naqīb	既登録の نقيب 職の職名形（النقابة）。原文は特定共同体を明示しないため نقيب الأشراف(O-00068)・نقيب الشافعية(O-00195) ではなく汎用行が妥当	ID-Master行「Office | نقيب | Naqīb | TMP-O-00067 | 」／corpus D01259「باشر النقابة عند الكمال بن العديم وولده」	H	
AIND-D01321	state	office	الأمراء العشرات	EXIST	TMP-O-00101	أمير عشرة	Amīr ʿAshara	"既登録。原文は複数形「أحد الأمراء العشرات」＝十人隊アミールの一人。⚠同 state 内 placeName「الديار المصرية」の ref=""#TMP-L-00011"" は شماخي の番号で誤流用（要是正、正しくは مصر/الديار المصرية）"	ID-Master行「Office | أمير عشرة | Amīr ʿAshara | TMP-O-00101 | 出現: D02052・D02056（十人長）」／corpus D01321「أحد الأمراء العشرات بالديار المصرية وحجابها الصغار」	H	
AIND-D01412	placeName	ref	الخانقاه	NEW:L	NEW:L	الخانقاه | الخانكة	al-Khānqāh | al-Khānka	"カイロ北東の町（خانقاه سرياقوس の門前町、現 الخانكة）。ニスバ الخانكي の由来地。機関 خانقاه سرياقوس(TMP-I-00022) とは別に、居住地としての集落を Location 登録すべき。⚠同ファイル affiliation の「المدرسة الأشرفية بالخانقاه」に付された ref=""#TMP-I-00055"" は جامع الزيتونة（チュニス）の番号で誤流用（要是正・当該マドラサは NEW:I 候補）"	"XML: <event type=""residence"" n=""2""><placeName ref=""#NEEDID"">الخانقاه</placeName><note>Resided here (implied by nisbah al-Khānkī)</note>／corpus D01412「المارديني الأصل الكركي ثم الخانكي … كان بواب المدرسة الأشرفية بالخانقاه」／ID-Master Location に「الخانقاه」なし"	H	
AIND-D01413	placeName	ref	باب الفتوح	NEW:L	NEW:L	باب الفتوح	Bāb al-Futūḥ	カイロ北門バーブ・アル＝フトゥーフとその門前地区。既登録 Institution「سوق العمى خارج باب الفتوح」(TMP-I-00024) は同地区内の別実体。cf. 既登録 Location の門系 باب النصر(L-00211)・باب الوزير(L-00189)・باب الخرق(L-00159)	"XML: <event type=""other"" n=""1""><placeName ref=""#NEEDID"">باب الفتوح</placeName>／corpus D01413「وجلس بحانوت الحنابلة ظاهر باب الفتوح」／ID-Master Location に「باب الفتوح」単独行なし"	H	
AIND-D01608	state	office	كاتب المنسوب	NEW:O	NEW:O	كاتب المنسوب	kātib al-mansūb	「マンスーブ体（比例書法）の能書家」。職／称号として corpus に定着：#AIND-D05462（عصفور）の本伝でイブン・ハジャルが「الكاتب المجود كاتب المنسوب الملقب بعصفور」と用い、「بارعا في كتابة المنسوب على طريقة الشاميين」と説明する。既存 Subject كتب|الكتابة(S-00026) は行為であり職ではない	"XML: <state type=""office"" ref=""#NEEDID""><label>كاتب المنسوب</label>／corpus D01608「أحمد بن محمد الشهاب التلعفري ثم الدمشقي كاتب المنسوب」／傍証 corpus D05462／ID-Master に該当 Office 行なし"	H	
AIND-D01614	placeName	ref	المدرسة الرواحية / al-Madrasa al-Rawāḥiyya	RETAG:I	RETAG:I + NEW:I	المدرسة الرواحية (دمشق) | الرواحية	al-Madrasa al-Rawāḥiyya (Dimashq)	⚠既登録 TMP-I-00096「المدرسة الرواحية」は注記のとおりハラブ（D03916「نزيل الرواحية بحلب」、D02253「سكن الرواحية بها（حلب）」）。本項は死没地がダマスカスで、埋葬は مقبرة الباب الصغير、職はダマスカスのكلاسةと جامع دمشق＝同名別実体のダマスカス・ラワーヒーヤ（cf. D10310「الشامية البرانية والناصرية البرانية والجوانية والرواحية」、D10332「ودرس في دمشق بعدة مدارس كالرواحية」）。placeName ではなく Institution 扱いに是正のうえ別番号を発行すべき。ar-Latn行と同一判定	"XML: <death><placeName ref=""#NEEDID"">المدرسة الرواحية</placeName>…<placeName type=""burial"" ref=""#TMP-L-00015"">مقبرة الباب الصغير</placeName>／corpus D01614「مات … بالمدرسة الرواحية … ودفن قبلي الشيخ حماد من مقبرة الباب الصغير … أحد شيخي الإقراء بالمدرسة الكلاسة وشيخ السمع بمحراب المالكية في جامع دمشق」／ID-Master「Institution | المدرسة الرواحية | TMP-I-00096 | 出現: D03916(نزيل الرواحية بحلب)」"	M	
AIND-D01614	state	office	كلاسة الجامع الأموي（XML実体は office ラベル「شيخ الإقراء」）	NEW:O	NEW:O	شيخ الإقراء	shaykh al-iqrāʾ	機関 كلاسة الجامع الأموي は同 state 内 orgName で #TMP-I-00006 に解決済。未解決なのは state/@ref＝職名「شيخ الإقراء」（クルアーン教授の長。原文は「أحد شيخي الإقراء」＝2名制）。既存 رياسة الإقراء(O-00088、「انتهت إليه رياسة الإقراء ببلده」＝地域首位)とは別概念	"XML: <state type=""office"" ref=""#NEEDID""><label>شيخ الإقراء</label><placeName ref=""gn:170654"">دمشق</placeName><orgName ref=""#TMP-I-00006"">كلاسة الجامع الأموي</orgName>／ID-Master「Institution | كلاسة الجامع الأموي | Killāsat al-Jāmiʿ al-Umawī | TMP-I-00006」"	H	
AIND-D01623	state	office	وكيل الشرع	NEW:O	NEW:O	وكيل الشرع	wakīl al-sharʿ	シャリーア法廷の訴訟代理人。既存の وكيل(O-00060)・وكيل السلطان(O-00030)・وكيل بيت المال(O-00061) とは対象が異なるため別行。cf. 同一項の第2職は #TMP-O-00077 で解決済	"XML: <state n=""1"" type=""office"" ref=""#NEEDID""><label>وكيل الشرع</label>／corpus D01623「أحمد بن محمد الحريري وكيل الشرع ودلال الكتب أبوه」／ID-Master に「وكيل الشرع」行なし"	H	
AIND-D01646	placeName	ref	جهة المدعى	NEW:L	NEW:L	المدعى | جهة المدعى	al-Maddaʿā	"メッカ北東部、マアラー墓地に至る参道沿いの街区（سوق المدعى）。本人はマッカ居住で المعلاة に埋葬されており地理的に整合。⚠corpus の他の「المدعى」用例（D00910/D10214/D10224）はすべて法律用語「المدعى به/عليه」であり本例とは無関係＝同定は本項の文脈にのみ依拠（→要判断）。⚠同ファイル affiliation「قيسارية دار الإمارة」の ref=""#TMP-I-00054"" は الفاضلية の番号で誤流用（要是正）"	"XML: <event type=""residence"" n=""2""><placeName ref=""#NEEDID"">جهة المدعى</placeName>／corpus D01646「كان ساكنا خيرا يتكسب بقيسارية دار الإمارة وله دار بجهة المدعى . مات في المحرم سنة ستين ودفن بالمعلاة」"	M	
AIND-D01667	placeName	ref	أجياد	NEW:L	NEW:L	أجياد	Ajyād	メッカ聖モスク南方の谷／街区。corpus に أجياد الصغير（D07181「رباط ربيع في سفح أجياد الصغير」）・أجياد الكبير（D13486「رباطا بأجياد الكبير」）・باب أجياد（D07429/D08598）が頻出し、独立した地名として確立	"XML: <event type=""residence"" n=""1""><placeName ref=""#NEEDID"">أجياد</placeName><note>A district in Mecca.</note>／corpus D01667「نزيل أجياد من مكة مات بها في سنة سبع وثلاثين」／ID-Master Location に「أجياد」なし"	H	
AIND-D01735	placeName	ref	دنجية	NEW:L	NEW:L	دنجية | دنجيه	Danjiyya	ダミエッタ近郊のエジプトの村。corpus D07224 に「بدنجية قرب دمياط」と明示。ニスバ الدنجيهي の由来地（D01143/D02857/D03565「الزين الدنجيهي قاضيها … ولد فيها بها … وتحول لدمياط」/D03898/D04151）	"XML: <event type=""residence"" n=""1""><placeName ref=""#NEEDID"">دنجية</placeName>／corpus D01735「من علماء دنجية أو دمياط」／corpus D07224「بدنجية قرب دمياط」／ID-Master Location に「دنج」語幹0件"	H	
AIND-D01910	state	office	دلال العقارات	NEW:O	NEW:O	دلال العقارات	dallāl al-ʿaqārāt	不動産仲買人。ワクフ物件の取引に関与した職業集団（原文「خاتمة أرباب طائفته」＝同業組合の存在を示す）。汎用 الدلال(O-00188) とは対象限定が異なる。D01134「دلال الكتب」と対をなす	"XML: <state type=""office"" ref=""#NEEDID""><label>دلال العقارات</label>／corpus D01910「اسكندر دلال العقارات … وكان خاتمة أرباب طائفته … من الإقدام على أوقاف المسلمين」"	H	
AIND-D01952	placeName	ref	أبشيه الملق	NEW:L	NEW:L	أبشيه الملق	Abshīh al-Malaq	エジプトの村。ニスバ الأبشيهي の由来地（D01402/D01518/D01569/D01744/D03042）。⚠刊本表記は「أبشيه الملق」だが أبشواي الملق（ファイユーム）の異綴の可能性あり（→要判断）	"XML: <event type=""political"" n=""1"" when-custom=""0871-08"" cert=""high""><placeName ref=""#NEEDID"">أبشيه الملق</placeName>／corpus D01952「لاتهامهما بقتل شيخ أبشيه الملق」／ID-Master Location に「أبشيه」なし"	M	
AIND-D01988	state	office	سقاية العباس	RETAG:I	RETAG:I + NEW:I	سقاية العباس	Siqāyat al-ʿAbbās	マッカ聖モスクのアッバース家由来の給水施設（ザムザム給水権）。原文は「أحد المباشرين للأذان وسقاية العباس」＝施設の管理職であり施設名そのものは Institution。state/@ref には別途 NEW:O「مباشرة سقاية العباس」（mubāsharat Siqāyat al-ʿAbbās）が必要。cf. 既存 خادم السبيل(O-00184)	"XML: <state n=""2"" type=""office"" ref=""#NEEDID""><label>سقاية العباس</label>（n=1 は مؤذن=wd:Q239718）／corpus D01988「وهو أحد المباشرين للأذان وسقاية العباس . مات … بمكة」"	H	
AIND-D01989	state	office	الناصرية	RETAG:I	RETAG:I + NEW:I	الناصرية (بعمل صفد)	al-Nāṣiriyya (Ṣafad)	サファド管区のザーウィヤ／スーフィー施設（「على طريقة الفقراء」）。⚠既登録の المدرسة الناصرية(wd:Q25463062)・الناصرية الحسنية(TMP-I-00030) はいずれもカイロで別実体。state/@ref の職は شيخ الناصرية＝既存 شيخ صوفية(TMP-O-00170) または مشيخة التصوف(TMP-O-00077) を充てうる	"XML: <state type=""office"" ref=""#NEEDID""><label>شيخ الناصرية</label><placeName ref=""gn:293100"">صفد</placeName><orgName>الناصرية</orgName>／corpus D01989「كان شيخ الناصرية من عمل صفد على طريقة الفقراء」"	H	
AIND-D01997	placeName	ref	قلعة الكهف	NEW:L	NEW:L	قلعة الكهف	Qalʿat al-Kahf	"シリア沿岸ジャバル・アンサーリーヤのイスマーイール派の要塞都市。843年にトリポリからの軍に破壊された。⚠同ファイル state 内の placeName「قلعة الكهف」に付された ref=""#TMP-L-00015""（＝مقبرة الباب الصغير）は誤流用（要是正）"	"XML: <event type=""residence"" n=""1""><placeName ref=""#NEEDID"">قلعة الكهف</placeName>／corpus D01997「أمير الإسماعيلية بقلعة الكهف مدينتها أحد حصون الإسماعيلية المنيعة . قدم عليه عسكر من طرابلس فهدموا القلعة」／ID-Master Location に「الكهف」なし"	H	
AIND-D01997	state	office	أمير الإسماعيلية	NEW:O	NEW:O	أمير الإسماعيلية	amīr al-Ismāʿīliyya	シリア・イスマーイール派共同体の首長職。既存 أمير(O-00014) の下位、共同体限定職として فقيه المالكية(O-00143)・شيخ أولاد أبي الليل(O-00140) と同型	"XML: <state type=""office"" ref=""#NEEDID""><label>أمير الإسماعيلية</label><date type=""retirement"" when-custom=""0843""/>／corpus D01997「إسماعيل بن العجمي أمير الإسماعيلية بقلعة الكهف … وأنعم عليه بأمرة في طرابلس وذلك في سنة ثلاث وأربعين」"	H	
AIND-D03031	state	office	أحد خدام المدينة	EXIST	TMP-O-00049	أحد الخدام بالحجرة النبوية	Aḥad al-Khuddām bi-l-Ḥujra al-Nabawīya	マディーナ預言者廟の宦官給仕。原文の「خدام المدينة」は同職の略称。長職は مشيخة الخدام(TMP-O-00093、「預言者モスク(マディーナ)の給仕(宦官)長」)として別登録済で、その配下＝本行に相当。⚠語形が異なるため ID-Master 側に異綴「خدام المدينة」を併記することを推奨	ID-Master行「Office | أحد الخدام بالحجرة النبوية | Aḥad al-Khuddām bi-l-Ḥujra al-Nabawīya | TMP-O-00049 | 預言者廟の使用人」／corpus D03031「ريحان اليعقوبي … الطواشي أحد خدام المدينة」（الطواشي＝宦官で一致）	M	
AIND-D03051	bibl	ref	شعر للشافعي في صناعة الرمي بالنشاب / Shiʿr li-l-Shāfiʿī…	EXIST	TMP-T-00140	شعر للشافعي في صناعة الرمي بالنشاب	Shiʿr li-l-Shāfiʿī fī ṣināʿat al-ramy bi-l-nushshāb	既登録（本項D03051を出現箇所として明記）。⚠ID-Master 注記どおり「書名ではなく記述句」の可能性が残る（→要判断）。ar-Latn行と同一判定	ID-Master行「Text | شعر للشافعي في صناعة الرمي بالنشاب | Shiʿr li-l-Shāfiʿī fī ṣināʿat al-ramy bi-l-nushshāb | TMP-T-00140 | D03051 ⚠記述句の可能性→要判断」／corpus D03051「كتب عنه شيخنا الزين رضوان شعرا للشافعي في صناعة الرمي بالنشاب」	H	
AIND-D03719	affiliation	employed	الجامع الجاولي	NEW:I	NEW:I	الجامع الجاولي	al-Jāmiʿ al-Jāwilī	ガザのジャーウィリー・モスク（سنجر الجاولي 建立）。本項主が خطيب を務めた。ID-Master 未登録。同一項の orgName 行と同一実体	"XML: <affiliation n=""1"" type=""employed"" ref=""#NEEDID""><orgName>الجامع الجاولي</orgName>／corpus D03719「وخطب بالجامع الجاولي بغزة」／ID-Master に「الجاولي」0件"	H	G-JAWILI
AIND-D03719	orgName	ref	الجامع الجاولي	NEW:I	NEW:I	الجامع الجاولي	al-Jāmiʿ al-Jāwilī	同上（state n=1 の خطيب 職に付随する orgName）。G-JAWILI と同一番号を付与	"XML: <state n=""1"" type=""office"" ref=""wd:Q932945"">…<orgName ref=""#NEEDID"">الجامع الجاولي</orgName>"	H	G-JAWILI
AIND-D03719	affiliation	employed	البيبرسية	EXIST	Q6400398	خانقاه بيبرس الجاشنكير | رباط البيبرسية | البيبرسية	Khānqāh Baybars al-Jāshnikīr | Ribāṭ al-Baybarsiyya	既登録の wd を優先。⚠ID-Master に重複行あり（Institution「الخانقاه البيبرسية」TMP-I-00107、D05665）→ wd:Q6400398 への統合を推奨。同一 corpus 内 D01413 は既に wd:Q6400398 を使用	ID-Master行「Institution | خانقاه بيبرس الجاشنكير | رباط البيبرسية |  | Q6400398 | 」／corpus D03719「ولي مشيخة البيبرسية إما الكبرى أو الرباط」	H	G-BAYBARSIYYA
AIND-D03719	state	office	البيبرسية	EXIST	Q6400398	خانقاه بيبرس الجاشنكير | رباط البيبرسية	Khānqāh Baybars al-Jāshnikīr | Ribāṭ al-Baybarsiyya	state n=2 内 orgName＝上記と同一実体。あわせて state/@ref（職ラベル「مشيخة」）は既登録 wd:Q7492880（Office「مشـيخة」）を充てるべき。原文が「إما الكبرى أو الرباط」と不確定のため、リバート限定の مشيخة الرباط بالبيبرسية(TMP-O-00013) は採らない	"XML: <state n=""2"" type=""office"" ref=""#NEEDID""><label>مشيخة</label><orgName ref=""#NEEDID"">البيبرسية</orgName>／ID-Master行「Office | مشـيخة | mashyakhat | Q7492880」"	H	G-BAYBARSIYYA
AIND-D03719	orgName	ref	البيبرسية	EXIST	Q6400398	خانقاه بيبرس الجاشنكير | رباط البيبرسية	Khānqāh Baybars al-Jāshnikīr | Ribāṭ al-Baybarsiyya	同上（affiliation n=2 の orgName）	"XML: <affiliation n=""2"" type=""employed"" ref=""#NEEDID""><orgName>البيبرسية</orgName>"	H	G-BAYBARSIYYA
AIND-D03733	state	office	قاضي عدن	NEW:O	NEW:O	قاضي عدن	qāḍī ʿAdan	アデンのカーディー職。既存の地名限定職 نائب صفد(O-00026)・شيخ نابلس(O-00139)・قاضي المالكية(O-00180)・قاضي الشافعية(O-00181) と同型。地名 عدن は #TMP-L-00049 で解決済	"XML: <state n=""1"" type=""office"" ref=""#NEEDID""><label>قاضي عدن</label><placeName ref=""#TMP-L-00049"">عدن</placeName>／corpus D03733「وجيه الدين أبو محمد العرشاني قاضي تعز بعد عدن」"	H	
AIND-D03733	state	office	قاضي تعز	NEW:O	NEW:O	قاضي تعز	qāḍī Taʿizz	タイッズのカーディー職。本項主の没後、弟 أبو بكر → عبد الولي الوحظي → محمد بن داود الوحظي と継承された要職。地名 تعز は #TMP-L-00050 で解決済	"XML: <state n=""2"" type=""office"" ref=""#NEEDID""><label>قاضي تعز</label><placeName ref=""#TMP-L-00050"">تعز</placeName>／corpus D03733「واستقر بعده في قضاء تعز أخوه أبو بكر」"	H	
AIND-D03758	state	office	جامع الأزهر（XML実体は office ラベル「النظر على أوقاف الأزهر」）	EXIST	TMP-O-00113	ناظر الأوقاف	Nāẓir al-Awqāf	機関 الأزهر／جامع الأزهر は同ファイルの affiliation・orgName とも既に wd:Q312342 に解決済＝機関側は EXIST:Q312342。未解決の state/@ref（職）は「アズハルのワクフ監督」であり既登録の ناظر الأوقاف に該当。⚠ID-Master 側に異綴「النظر على الأوقاف」の併記を推奨	"XML: <affiliation type=""employed"" ref=""wd:Q312342"">الأزهر</affiliation> / <state type=""office"" ref=""#NEEDID""><label>النظر على أوقاف الأزهر</label><orgName ref=""wd:Q312342"">جامع الأزهر</orgName>／corpus D03758「وباشر على أوقاف الأزهر وتكسب بالشهادة」／ID-Master行「Office | ناظر الأوقاف | Nāẓir al-Awqāf | TMP-O-00113 | 出現: D01864(وولي نظر الأوقاف)・D06355」／「Institution | الأزهر | جامع الأزهر | Q312342」"	M	
AIND-D03766	placeName	ref	مور	NEW:L	NEW:L	مور | وادي مور	Mawr | Wādī Mawr	イエメン・ティハーマの大ワーディーおよびその地域。corpus D05659 に「الحادث ساحل مور وهو واد عظيم به عدة قرى」と明示。本項主はここの مفتي أحمد に法学を学んだ。近隣の عريش(TMP-L-00224)・أبيات حسين(TMP-L-00225) と同一地域圏	"XML: <relation subtype=""teacher"" n=""2"">…<event type=""learning""><placeName ref=""#NEEDID"">مور</placeName>／corpus D03766「وتفقه بأبيه وبأحمد مفتي مور」／corpus D05659「فخرج إلى الحادث ساحل مور وهو واد عظيم به عدة قرى」"	H	
