pid	subtype	desc	verdict	id_or_new	arabic_canonical	latin	note_for_idmaster	evidence	confidence	group
AIND-D03662	father	عبد الله العفيف	AIND:#AIND-D04512	AIND-D04512			ID-Master 追加不要。	corpus見出し #AIND-D04512「$ 130 عبد الله بن علي بن موسى العفيف بن النور المكي ويعرف بالمزرق كان يخدم كثيرا السيد حسن بن عجلان صاحب مكة」＝本項主 D03662「عبد الرحمن بن عبد الله بن علي بن موسى الوجيه بن العفيف بن النور المكي المعروف بالمزوق」のナサブ・ラカブ連鎖(الوجيه بن العفيف بن النور)・家名(المزوق／المزرق)が一致	H	
AIND-D03664	brother	أبو الفرج	AIND:#AIND-D11041	AIND-D11041			ID-Master 追加不要。	corpus見出し #AIND-D11041「$ 405 أبو الفرج بن عبد الله بن محمد بن عبد الرحمن ناصر الدين بن القطان المدني أخو عبد الرحمن الماضي ممن سمع مني بالمدينة」＝本項主 D03664「عبد الرحمن بن عبد الله بن محمد بن عبد الرحمن … الزين المدني أخو أبي الفرج … ويعرف كسلفه بابن القطان ممن سمع مني بالمدينة」と父名・家名・境遇が完全一致し「أخو عبد الرحمن الماضي」で相互参照	H	
AIND-D03674	son	إبراهيم	AIND:#AIND-D00142	AIND-D00142			ID-Master 追加不要。⚠同項に現れるもう一人の إبراهيم（兄弟 سعد الدين إبراهيم=#AIND-D00172）と混同しないこと。	corpus見出し #AIND-D00142「$ إبراهيم بن عبدالرحمن بن عبدالوهاب البرهان بن الزين اللدي الأصل الغزي ناظر جيشها وابن ناظره ويعرف قديما بابن فليب … استقر بعد أبيه」＝本項主 D03674「عبد الرحمن بن عبد الوهاب بن الزين اللدي الأصل الغزي ناظر جيشها … فالتزم ولده إبراهيم الماضي باكمالها」の子。「وابن ناظره」「استقر بعد أبيه」が父子関係を確証	H	
AIND-D03681	father	عثمان	NEW	NEW	عثمان السكندري	ʿUthmān al-Sakandarī	出現項: D03681（父）。子=الجمال عبد الرحمن بن عثمان السكندري الترجمان التاجر（#AIND-D03681、849年ラマダーン没）。D03681 の見出し「عبد الرحمن بن عثمان جمال الدين السكندري الترجمان التاجر」から1段ずらして復元（ラカブ جمال الدين・職 الترجمان التاجر は本項主に帰属するため父には付さない）。⚠#AIND-D03908「عبد الرزاق بن عثمان جمال الدين التركماني السكندري التاجر . مات في رمضان سنة تسع وأربعين」は父名・ラカブ・ニスバ・没月まで一致し、同一人物の重複立項または実兄弟の可能性が高い（その場合 التركماني も父のニスバ）。corpus に父の本伝なし。	corpus見出し #AIND-D03681「$ 274 عبد الرحمن بن عثمان جمال الدين السكندري الترجمان التاجر … ومات في رمضان سنة تسع وأربعين ومات له ابن اسمه محمد」／「عثمان السكندري」全文検索=0件、「عثمان جمال الدين」=D03681・D03908 の2件のみ	M	FAM:D03681-SAKANDARI
AIND-D03681	son	محمد	NEW	NEW	محمد بن عبد الرحمن بن عثمان السكندري	Muḥammad b. ʿAbd al-Raḥmān b. ʿUthmān al-Sakandarī	出現項: D03681（息子）。原文「ومات له ابن اسمه محمد」＝父の存命中に死去した息子。D03681 のナサブから1段下げて復元。⚠初版の #TMP-P-000529 は別実体（إبراهيم بن عبد الله ابن جماعة の息子 محمد）の汚染番号のため使用不可。corpus に本伝なし。	corpus見出し #AIND-D03681「$ 274 عبد الرحمن بن عثمان جمال الدين السكندري الترجمان التاجر … ومات له ابن اسمه محمد」／「محمد بن عبد الرحمن بن عثمان」全文検索=3件でいずれもメッカのطبري家(D05440/D08812)およびابن عثمان家(D12525)＝別人	M	FAM:D03681-SAKANDARI
AIND-D03711	student	أخذ | الأخذ	NEW	NEW	محمد بن عبد الرحمن بن عمر بن عبد العزيز بن عمر بن عامر البصروي	Muḥammad b. ʿAbd al-Raḥmān b. ʿUmar b. ʿAbd al-ʿAzīz b. ʿUmar b. ʿĀmir al-Buṣrawī	出現項: D03711（弟子＝実子。「ممن أخذ عنه ولده」）。下記 son 行と同一人物につき同一番号を充てる。D03711 の見出しナサブ「عبد الرحمن بن عمر بن عبد العزيز بن عمر بن عامر البصروي」から1段下げて復元。⚠初版の #TMP-P-000529 は汚染番号。原文に「الآتي」の予告がなく corpus に本伝なし。	corpus見出し #AIND-D03711「$ 303 عبد الرحمن بن عمر بن عبد العزيز بن عمر بن عامر البصروي والد محمد ممن أخذ عنه ولده」／「محمد بن عبد الرحمن بن عمر بن عبد العزيز」全文検索=0件。ニスバ البصروي 保有者(D00033/D01859/D03813/D03863/D04444 等)に該当ナサブなし	H	SAME:D03711-BUSRAWI
AIND-D03711	son	محمد	NEW	NEW	محمد بن عبد الرحمن بن عمر بن عبد العزيز بن عمر بن عامر البصروي	Muḥammad b. ʿAbd al-Raḥmān b. ʿUmar b. ʿAbd al-ʿAzīz b. ʿUmar b. ʿĀmir al-Buṣrawī	出現項: D03711（息子）。上記 student 行と同一人物＝TMP-P は1件のみ発行し、student/son 両 relation から同一番号を参照する。D03711 のナサブから復元。	corpus見出し #AIND-D03711「$ 303 عبد الرحمن بن عمر بن عبد العزيز بن عمر بن عامر البصروي والد محمد ممن أخذ عنه ولده」（「والد محمد」と「أخذ عنه ولده」は同一人物を指す）	H	SAME:D03711-BUSRAWI
AIND-D03715	teacher	قرأ | القراءة	AIND:#AIND-D10283	AIND-D10283			ID-Master 追加不要。	corpus見出し #AIND-D10283「$ 1003 يحيى بن عمر بن محمد بن أحمد بن عمر بن علي الشرف أبو زكريا بن السراج الحوراني الأصل الحموي المولد الشافعي التاجر نزيل مكة」＝本項主 D03715「عبد الرحمن بن عمر بن محمد بن أحمد بن عمر الحوراني المكي أخو يحيى الآتي … وسمع علي بها بقراءة أخيه بعض الصحيح」の「أخيه」＝ يحيى الآتي。ナサブ5代が一致	H	
AIND-D03733	brother	أبو بكر	NEW	NEW	أبو بكر بن محمد بن أحمد العرشاني	Abū Bakr b. Muḥammad b. Aḥmad al-ʿArshānī	出現項: D03733（兄弟）。イエメン・タイズの裁判官。兄 وجيه الدين أبو محمد عبد الرحمن（#AIND-D03733）の837年没後にタイズ裁判官職を継ぎ、839年ペストで死去。下記 successor 行と同一人物につき同一番号。D03733 の見出しナサブ「عبد الرحمن بن محمد بن أحمد … العرشاني」から兄弟として復元。corpus に本伝なし。	corpus見出し #AIND-D03733「$ 325 عبد الرحمن بن محمد بن أحمد وجيه الدين أبو محمد العرشاني قاضي تعز بعد عدن . مات سنة سبع وثلاثين واستقر بعده في قضاء تعز أخوه أبو بكر فلم يلبث أن مات في سنة تسع بالطاعون」／ニスبة「العرشاني」全文検索=D03733 とニスバ索引 #AIND-D11845「العرشاني بفتحات」の2件のみで独立本伝なし。「أبو بكر بن محمد بن أحمد」で始まるكنى部の見出し9件(D10805-D10814)はいずれも別人（الهدوي/البعلوني/العزازي/الأنصاري المكي/ابن الضياء/الفوي/ابن الرفا/الصحراوي/القافلي）	H	SAME:D03733-ARSHANI
AIND-D03733	successor	أبو بكر	NEW	NEW	أبو بكر بن محمد بن أحمد العرشاني	Abū Bakr b. Muḥammad b. Aḥmad al-ʿArshānī	出現項: D03733（後任者）。brother 行と同一人物＝TMP-P は1件のみ発行し両 relation から参照。D03733 のナサブ「عبد الرحمن بن محمد بن أحمد … العرشاني」から兄弟として復元。タイズ裁判官職の後任（「واستقر بعده في قضاء تعز أخوه أبو بكر」）。	corpus見出し #AIND-D03733（上記 brother 行と同一の原文箇所）。兄弟関係と職の継承が同一文で述べられ、別人ではない	H	SAME:D03733-ARSHANI
AIND-D03764	father	محمد	NEW	NEW	المحب أبو عبد الله محمد بن عبد الله بن محمد بن فرحون اليعمري المدني المالكي	al-Muḥibb Abū ʿAbd Allāh Muḥammad b. ʿAbd Allāh b. Muḥammad b. Farḥūn al-Yaʿmarī al-Madanī al-Mālikī	出現項: D03764（父）。マディーナのイブン・ファルフーン家（اليعمري المدني المالكي، بيت رياسة وقضاء وعلم）。子は عبد الرحمن البدر=#AIND-D03764、عبد الله البدر أبو محمد=#AIND-D04590（マディーナ裁判官）、محمد ناصر الدين أبو البركات=#AIND-D08874（同）。D03764 の見出し「عبد الرحمن بن محمد بن عبد الله بن محمد بن فرحون البدر بن المحب أبي عبد الله اليعمري المدني المالكي」のナサブを1段ずらし、原文明示のラカブ المحب とクンヤ أبو عبد الله を付して復元（Waka裁定(a)の例示そのもの）。corpus に本伝なし。	corpus見出し #AIND-D03764「$ 356 عبد الرحمن بن محمد بن عبد الله بن محمد بن فرحون البدر بن المحب أبي عبد الله اليعمري المدني المالكي أخو عبد الله الآتي ويعرف بابن فرحون」／子2人の見出しがラカブ連鎖を確証: #AIND-D04590「$ 205 عبد الله بن محمد بن عبد الله بن محمد بن أبي القسم فرحون بن محمد بن فرحون البدر أبو محمد بن المحب أبي عبد الله بن البدر اليعمري الأندلسي الأصل المدني المالكي」・#AIND-D08874「ناصر الدين … أبو البركات بن المحب أبي عبد الله بن البدر أبي محمد اليعمري المدني قاضيها المالكي」／「محمد بن عبد الله بن محمد بن أبي القسم」で始まる本伝見出しは0件（ヒット2件はいずれも子の項）	H	
AIND-D03768	father	محمد	NEW	NEW	محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي	Muḥammad b. Abī ʿAbd Allāh b. Salāma al-Māksīnī al-Dimashqī	出現項: D03768（父）。ダマスカス・ウマイヤ・モスクのムアッズィンかつその長（رئيس المؤذنين）。子 عبد الرحمن（#AIND-D03768）が「مؤذن جامعها ورئيسه كأبيه」＝父も同職であったことが原文に明示される。D03768 の見出しナサブ「عبد الرحمن بن محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي」から1段ずらして復元。corpus に本伝なし。	corpus見出し #AIND-D03768「$ 360 عبد الرحمن بن محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي مؤذن جامعها ورئيسه كأبيه」／#AIND-D03788「عبد الرحمن بن محمد بن محمد بن سلامة الماكسيني . مضى فيمن جده أبو عبد الله」（同一人物の別索引）／「محمد بن أبي عبد الله بن سلامة」全文検索=D03768 の1件のみ。ماكسيني 保有者14件中に該当本伝なし	H	FAM:D03768-MAKSINI
AIND-D03768	grandfather	محمد (أبو عبد الله)	NEW	NEW	أبو عبد الله بن سلامة الماكسيني الدمشقي | محمد بن سلامة الماكسيني	Abū ʿAbd Allāh b. Salāma al-Māksīnī al-Dimashqī	出現項: D03768（祖父）。孫=عبد الرحمن（#AIND-D03768）、子=محمد（同項の父・別途 NEW 提案）。D03768 の見出しナサブ「عبد الرحمن بن محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي」から2段ずらして復元。原文末尾「ورأيت من سمى جده محمدا」＝クンヤ أبو عبد الله で通用するが محمد と名指す記録もある旨をサハーウィーが註記しており、別索引 #AIND-D03788 は実際に「محمد بن محمد بن سلامة」と綴る。両形を併記して登録。corpus に本伝なし。	corpus見出し #AIND-D03768「$ 360 عبد الرحمن بن محمد بن أبي عبد الله بن سلامة الماكسيني الدمشقي … وتبعه المقريزي في عقوده ورأيت من سمى جده محمدا」／#AIND-D03788「$ عبد الرحمن بن محمد بن محمد بن سلامة الماكسيني . مضى فيمن جده أبو عبد الله」＝祖父名の異同を裏づける相互参照	H	FAM:D03768-MAKSINI
AIND-D03781	father	محمد	NEW	NEW	محمد بن علي السروي المديني	Muḥammad b. ʿAlī al-Sarawī al-Madīnī	出現項: D03781（父）。子=الزين عبد الرحمن بن محمد بن علي السروي المديني الشافعي（#AIND-D03781、サハーウィーに النخبة を読み、سعيد السعداء のスーフィー）。D03781 の見出しナサブから1段ずらし、原文のニスバ السروي・المديني を付して復元（ラカブ الزين と法学派 الشافعي は本項主に帰属するため付さない）。corpus に本伝なし。	corpus見出し #AIND-D03781「$ 373 عبد الرحمن بن محمد بن علي الزين السروى المديني الشافعي . ممن قرأ علي في النخبة وشرحها」／ニスバ「السروى」全文検索=D03781 の1件のみ。ID-Master の既登録「نور الدين السروي | TMP-P-000495（student）」はラカブが異なり別人	M	
AIND-D03801	father	محمد	NEW	NEW	محمد بن محمد بن يحيى الواسطي	Muḥammad b. Muḥammad b. Yaḥyā al-Wāsiṭī	出現項: D03801（父）。原文「كان أبوه من المحدثين」＝ハディース学者。子=الشرف عبد الرحمن（#AIND-D03801、ワースィト→アレクサンドリア→アデンの商人）。D03801 の見出しナサブ「عبد الرحمن بن محمد بن محمد بن يحيى الشرف الواسطي」から1段ずらして復元。⚠#AIND-D10733 にアレクサンドリアの一括イジャーザ授与者として「الكمال محمد بن محمد بن يحيى الواسطي」が現れ、同一人物の可能性が高い（ラカブ الكمال。ただし本伝ではなく他項中の言及のため canonical には含めない）。corpus に本伝なし。	corpus見出し #AIND-D03801「$ 392 عبد الرحمن بن محمد بن محمد بن يحيى الشرف الواسطي ثم السكندري ثم العدني . ذكره شيخنا في معجمه فقال كان أبوه من المحدثين ونشأ هو تاجرا」／「محمد بن محمد بن يحيى الواسطي」全文検索=#AIND-D10733 の1件のみで、これは本伝ではなく「أجاز له … بثغر اسكندرية … والكمال محمد بن محمد بن يحيى الواسطي」という言及	M	
AIND-D03804	son	عبد القادر	AIND:#AIND-D04131	AIND-D04131			ID-Master 追加不要。	corpus見出し #AIND-D04131「$ 717 عبد القادر بن عبد الرحمن بن محمد بن يعقوب بن إسماعيل الشيباني المكي الماضي أبوه والآتي جده ويعرف بابن زبرق」＝本項主 D03804「عبد الرحمن بن محمد بن يعقوب بن إسماعيل … الشيباني والد عبد القادر الآتي وأخو أحمد الماضي ويعرف بابن زبرق」と「الماضي أبوه」で相互参照	H	
AIND-D03804	brother	أحمد	AIND:#AIND-D01579	AIND-D01579			ID-Master 追加不要。	corpus見出し #AIND-D01579「$ 571 أحمد بن محمد بن يعقوب بن إسماعيل بن محمد بن عبد الرحيم … بن أبي المعالي يحيى … الشهاب الشيباني المكي الحنفي أخو عبد الرحمن الآتي ويعرف بابن زبرق」＝D03804「وأخو أحمد الماضي ويعرف بابن زبرق」と相互参照、ナサブ・家名一致	H	
AIND-D03807	brother	أحمد	AIND:#AIND-D01586	AIND-D01586			ID-Master 追加不要。	corpus見出し #AIND-D01586「$ 578 أحمد بن محمد بن يونس بن محمد بن عمر الشهاب بن المحب بن الشرف البكتمري القاهري شقيق يحيى وعبد الرحمن الآتيين وأبوهم وعمه سيف الدين وجدهم لأمهم الزين قاسم بن قطلوبغا الحنفي」＝本項主 D03807「شقيق أحمد ويحيى المذكورين」と相互参照	H	FAM:D03807-BAKTAMURI
AIND-D03807	brother	يحيى	AIND:#AIND-D10322	AIND-D10322			ID-Master 追加不要。	corpus見出し #AIND-D10322「$ 1042 يحيى بن المحب محمد بن الشرف يونس بن محمد بن عمر البكتمري الأصل القاهري الحنفي الماضي أبوه والآتي جده وهو شقيق أحمد وعبد الرحمن والثلاثة أسباط الزين قاسم الحنفي」＝三兄弟の同定が明示	H	FAM:D03807-BAKTAMURI
AIND-D03807	father	محمد	AIND:#AIND-D09605	AIND-D09605			ID-Master 追加不要。	corpus見出し #AIND-D09605「$ 331 محمد بن يونس بن محمد بن عمر المحب بن الشرف بن الحسام بن الركن البكتمري الحنفي حفيد أم هانئ الهورينية وابن أخي السيف الشهير ووالد أحمد وعبد الرحمن ويحيى الآتي جدهم ويعرف بابن الحوندار」＝「والد أحمد وعبد الرحمن ويحيى」で父子関係が明示	H	FAM:D03807-BAKTAMURI
AIND-D03807	uncle	السيف	AIND:#AIND-D08993	AIND-D08993			ID-Master 追加不要。⚠厳密には本項主の「大叔父」（父 محمد بن يونس の叔父）。原文「وعمه السيف الحنفي」の عم は父に係る。relation subtype=uncle の当否は校閲判断（世代差の注記が望ましい）。	corpus見出し #AIND-D08993「$ 445 محمد سيف الدين الحنفي شقيق الذي قبله ويعرف قديما بابن الحوندار」（直前項 #AIND-D08992「محمد بن محمد بن عمر بن قطلوبغا شجاع الدين بن الحسام بن الركن البكتمري … أخو السيف محمد الحنفي والشرف يونس المالكي ومنصور الحنبلي المذكورين وأمهم أم هانئ الهورينية」がナサブを与える）／ニスバ索引 #AIND-D12283「ابن الحوندار … سيف الدين محمد بن محمد بن عمر وأخوه شجاع الدين محمد وثالث وهو يونس كلهم أشقاء」／#AIND-D09605「وابن أخي السيف الشهير … فنشأ في كنف عمه المذكور」＝السيف は父 محمد بن يونس の叔父	H	FAM:D03807-BAKTAMURI
AIND-D03811	father	محمد	KEEP	KEEP				原文 D03811「عبد الرحمن بن محمد الحريري الصوفي المؤذن بالجامع المصري」。ニスバ الحريري および الصوفي・المؤذن بالجامع المصري はいずれも本項主自身の職業・属性であり父に帰属させる根拠がない。1段ずらした復元形は「محمد」のみ＝ニスバも家名もラカブもなく識別要素を欠く（Waka裁定 KEEP 条件に該当）。corpus 中に該当する本伝もなし（「الحريري الصوفي」検索=D03811 の1件のみ）	H	
AIND-D03812	brother	عبد الرحيم	NEW	NEW	عبد الرحيم بن محمود بن أحمد العيني الأصل القاهري	ʿAbd al-Raḥīm b. Maḥmūd b. Aḥmad al-ʿAynī	出現項: D03812（兄弟）。ラカブは الزين、法学派はハナフィー（子 #AIND-D00846 の見出し「الشهاب بن الزين بن شيخنا البدر العيني الأصل القاهري الحنفي」による。canonical には原文 D03812 由来の要素のみを採用）。父=البدر محمود بن أحمد العيني（wd:Q257745、#AIND-D04016 でも father relation として登場）、兄弟=عبد الرحمن قرة العين（#AIND-D03812、822年没）、子=الشهاب أحمد（#AIND-D00846）、娘=عائشة。D03812 の見出し「عبد الرحمن ابن شيخنا البدر محمود بن أحمد العيني الأصل القاهري أخو عبد الرحيم الآتي」から兄弟として復元。原文の「الآتي」に反し corpus の عبد الرحيم 部（#AIND-D03876〜D03894）に本伝が存在しない（欠落）。	corpus見出し #AIND-D03812「$ 403 عبد الرحمن ابن شيخنا البدر محمود بن أحمد العيني الأصل القاهري أخو عبد الرحيم الآتي ويلقب قرة العين」／#AIND-D00846「$ أحمد بن عبد الرحيم بن محمود بن أحمد الشهاب بن الزين بن شيخنا البدر العيني الأصل القاهري الحنفي」＝実在確証／ニスバ索引 #AIND-D12572「ابن العيني أحمد بن عبد الرحيم بن محمود بن أحمد وأخته عائشة وأبوهما」／「عبد الرحيم بن محمود」全文検索=3件（D00846・D03888 السلمي البعلي・D12572）で本伝は皆無、عبد الرحيم 部の見出し通覧でも不在	H	
AIND-D03816	brother	محمد	AIND:#AIND-D09459	AIND-D09459			ID-Master 追加不要。	corpus見出し #AIND-D09459「$ 193 محمد بن موسى نب [بن] إبرهيم البدر بن الشرف بن البرهان أخو عبد الرحمن ووالد عبد العزيز الماضيين . مات في .」＝本項主 D03816「عبد الرحمن بن موسى بن إبراهيم الزين بن الشرف بن البرهان أخو محمد الآتي」と相互参照。子 #AIND-D04012「عبد العزيز بن محمد بن موسى بن إبراهيم العز بن البدر بن الشرف ابن البرهان」も整合	H	FAM:D03816-BURHAN
AIND-D03816	father	موسى	AIND:#AIND-D10039	AIND-D10039			ID-Master 追加不要。	corpus見出し #AIND-D10039「$ 746 موسى بن إبرهيم الشرف بن البرهان السكازروني ثم القاهرى والد البدر محمد وعبد الرحمن . ممن قدم بالمباشرة والكتابة عند الزين عبد الباسط」＝「والد البدر محمد وعبد الرحمن」で父子関係が明示／ニスバ索引 #AIND-D12186「ابن البرهان … والشرف موسى بن إبرهيم أحد من خدم عند الزيني عبد الباسط وابناه البدر محمد وعبد الرحمن ماتا فأولهما في وثانيهما في ربيع الأول سنة احدى وتسعين」＝D03816 の没年月と一致	H	FAM:D03816-BURHAN
AIND-D03820	brother	عبد القادر	AIND:#AIND-D04214	AIND-D04214			ID-Master 追加不要。	corpus見出し #AIND-D04214「$ 797 عبد القادر بن يحيى بن عبد الرحمن بن أبي الخير محمد بن محمد بن عبد الله بن فهد محيي الدين الهاشمي المكي قريب التقي بن فهد وذويه والآتي أبوه … ويعرف كسلفه بابن فهد」＝本項主 D03820「عبد الرحمن بن يحيى بن عبد الرحمن بن أبي الخير محمد بن محمد بن فهد الهاشمي المكي أخو عبد القادر الآتي」と父 يحيى・ナサブが一致	H	
AIND-D03830	brother	نقيب الأشراف	KEEP	KEEP				原文 D03830「عبد الرحمن بن فخر الدين بن تقي الدين الحسني أخو نقيب الاشراف وابن نقيبهم」。兄弟は職名(نقيب الأشراف=TMP-O-00068)のみで名・クンヤ・ラカブが一切示されず名不詳。corpus の نقيب الأشراف 該当者20件を通覧しても الحسني 家で فخر الدين بن تقي الدين を父とする者は存在せず同定不能（Waka裁定 KEEP 条件「名不詳」に該当）。なお father 行の نقيب الأشراف とは別人（兄弟＝現任ナキーブ、父＝先代ナキーブ）	H	FAM:D03830-HASANI
AIND-D03830	father	نقيب الأشراف	NEW	NEW	فخر الدين بن تقي الدين الحسني	Fakhr al-Dīn b. Taqī al-Dīn al-Ḥasanī	出現項: D03830（父）。アシュラーフのナキーブ（نقيب الأشراف=TMP-O-00068。原文「وابن نقيبهم」＝本項主は「彼らのナキーブの子」）。子=عبد الرحمن（#AIND-D03830、803年ラビーウ1月没、イブン・ハジャルが言及）およびもう一人のナキーブ（同項 brother 行、名不詳につき KEEP）。D03830 の見出しナサブ「عبد الرحمن بن فخر الدين بن تقي الدين الحسني」から1段ずらして復元（固有名は原文に無くラカブのみ）。corpus に本伝なし。	corpus見出し #AIND-D03830「$ 421 عبد الرحمن بن فخر الدين بن تقي الدين الحسني أخو نقيب الاشراف وابن نقيبهم . مات في ربيع الأول سنة ثلاث . ذكره شيخنا」／「فخر الدين بن تقي الدين」「تقي الدين الحسني」全文検索=いずれも D03830 の1件のみ	H	FAM:D03830-HASANI
AIND-D03841	other	ابن حجر العسقلاني	KEEP	KEEP			ID-Master 追加不要。#NEEDID は既存の wd:Q471116（ID-Master「شيخنا | ابن حجر العسقلاني | ابن حجر | shaykh-nā | Q471116」）に差し替えるべき誤付与（実務上は FIX 相当だが新規番号は不要）。	原文 D03841「مات في جمادى الآخرة سنة ثلاث ، ذكره شيخنا في إنبائه」＝「شيخنا」はサハーウィーの師イブン・ハジャル・アスカラーニーで、ID-Master に Q471116 として登録済み	H	
