file	id	relation_subtype	xml:lang	違反種別	検出尾部語	desc
AIND-D01130_326677563774.xml	AIND-D01130	brother	ar	尾部語	الاتي	محمد الآتي
AIND-D01184_363214146037.xml	AIND-D01184	uncle	ar	尾部語	عمه	عمه أحمد
AIND-D01205_384995166742.xml	AIND-D01205	other	ja	尾部語＋非アラビア文字	زوج	継父(زوج الأم)
AIND-D01244_621360974430.xml	AIND-D01244	cousin	ar	尾部語	الذي,عم,قبله	ابن عم الذي قبله
AIND-D01444_736041634838.xml	AIND-D01444	colleague	ar	尾部語	شيخنا	شيخنا (ابن حجر العسقلاني)
AIND-D01448_810826075170.xml	AIND-D01448	brother	ar	尾部語	اخيه	له ذكر في أخيه عبد الله
AIND-D01498_661584350335.xml	AIND-D01498	uncle	ar	尾部語	خاله	الشمس بن المغربي قاضي الحنفية (خاله)
AIND-D01524_632224222421.xml	AIND-D01524	uncle	ar	尾部語	عمه	عمه
AIND-D01597_653954911592.xml	AIND-D01597	grandmother	ar	尾部語	اخت	أخت الجمال الاستادار
AIND-D01654_774633426386.xml	AIND-D01654	teacher	ar	尾部語	ولده	ولده البدر القرافي
AIND-D01663_497452846569.xml	AIND-D01663	teacher	ar	尾部語＋非アラビア文字	التي	علي（836年シャームで聴聞。原文「وكذا سمع بالشام في التي قبلها علي」。人物特定不能・要精査）
AIND-D01704_896490540629.xml	AIND-D01704	uncle	ar	尾部語	الماضي	أحمد الماضي
AIND-D01729_661999586954.xml	AIND-D01729	other	ar	尾部語	صهر	صهر الشمس بن حامد
AIND-D01756_889716739813.xml	AIND-D01756	spouse	ar	尾部語	اخي	ابنة أخي فتح الدين المؤذن بجامع صلم
AIND-D01866_765082996825.xml	AIND-D01866	patron	ar	尾部語	استاذه	أستاذه الظاهر برقوق
AIND-D01874_445057601658.xml	AIND-D01874	patron	ar	尾部語	استاذه	أستاذه الظاهر برقوق
AIND-D01882_295815876755.xml	AIND-D01882	father-in-law	ar	尾部語	ابنته,صهر	صهر الأمير يشبك الفقيه على ابنته
AIND-D01899_817180446904.xml	AIND-D01899	brother	ar	尾部語	الماضي	أحمد الماضي
AIND-D01899_817180446904.xml	AIND-D01899	relative	ar	尾部語	الماضي,قريب	قريب أحمد بن عبد الله بن محمد بن عبد الله بن بلال الماضي
AIND-D01905_404888752331.xml	AIND-D01905	other	ar	尾部語	زوجه	زوجة الزيني زكريا (قرابة مظنونة)
AIND-D01962_515362525520.xml	AIND-D01962	uncle	ar	尾部語	عمه	عمه
AIND-D01990_213183893887.xml	AIND-D01990	grandfather	ar	尾部語	جد	ابن الضياء (الجمال أبو النجا محمد، قاضي الحنفية بمكة، جد لأم)
AIND-D02011_362085880236.xml	AIND-D02011	possible_identity	ar	尾部語	الماضي,قريبا	وينظر إن كان غير اسنباي التركماني الماضي قريبا
AIND-D02029_193713934810.xml	AIND-D02029	patron	ar	尾部語	استاذه	أستاذه
AIND-D02034_322940441055.xml	AIND-D02034	other	ar	尾部語	عم	ابن عم الظاهر برقوق
AIND-D02101_728043098756.xml	AIND-D02101	spouse	ar	尾部語	اخت	أخت الأمين ووالدة المحب الأقصرائيين
AIND-D02101_728043098756.xml	AIND-D02101	daughter	ar	尾部語	الاتيه	فاطمة الآتية
AIND-D02113_111606239902.xml	AIND-D02113	spouse	ar	尾部語	الذي	ابنة تغري بردي الذي كان نائب الشام
AIND-D02116_140366582439.xml	AIND-D02116	patron	ar	尾部語	استاذه	أستاذه يشبك الشعباني
AIND-D02125_903197233863.xml	AIND-D02125	brother	ar	尾部語	الاتي	محمد الآتي
AIND-D02131_919458550481.xml	AIND-D02131	father-in-law	ar	尾部語	صهر	صهر يشبك الفقيه
AIND-D02152_654638584579.xml	AIND-D02152	son	ar	尾部語	والد,وهو	وهو والد فرح
AIND-D02158_796317979402.xml	AIND-D02158	cousin	ar	尾部語	عم	ابن عم الاشرف برسباي
AIND-D02181_303596311343.xml	AIND-D02181	teacher	ar	尾部語	ممن	ممن سمع علي بمكة وقرأ علي أربعي النووي والبعض من مسلم
AIND-D02182_808447906604.xml	AIND-D02182	father	ar	尾部語	ابيه	وقد قدمها مع أبيه
AIND-D02182_808447906604.xml	AIND-D02182	brother	ar	尾部語	وهو	شقيق محمد وأحمد المذكورين وهو أصغر الثلاثة
AIND-D02182_808447906604.xml	AIND-D02182	teacher	ar	尾部語	ممن	وكان ممن سمع مني بها وبالقاهرة
AIND-D02184_809035109170.xml	AIND-D02184	brother	ar	尾部語	اخو,الاتي	أخو الفاضل الشمس محمد الآتي
AIND-D02187_693897270070.xml	AIND-D02187	maternal_grandfather	ar	尾部語	سبط	سبط ابن عبد العزيز
AIND-D02188_973082727226.xml	AIND-D02188	father	ar	尾部語	ابوه,الاتي	الآتي أبوه
AIND-D02209_945974940515.xml	AIND-D02209	companion	ar	尾部語	شيخنا	شيخنا الشيخ رضوان
AIND-D02217_624850637687.xml	AIND-D02217	teacher	ar	尾部語	سيده	سيده عبد الرحمن بن عمر القبابي القدسي
AIND-D02230_261447750540.xml	AIND-D02230	nephew	ar	尾部語	الماضي,قريبا	بقر الماضي قريبا
AIND-D02233_872293602192.xml	AIND-D02233	patron	ar	尾部語	استاذه	أستاذه الأشرف إينال
AIND-D02233_872293602192.xml	AIND-D02233	other	ar	尾部語	استاذه	تكلم على جهات أستاذه وولده المؤيد
AIND-D02243_159538746280.xml	AIND-D02243	mother	ar	尾部語	امه	أمه صفية
AIND-D02243_159538746280.xml	AIND-D02243	maternal_grandfather	ar	尾部語	الاتي,بعده,سبط	سبط بير محمد الخواجا الآتي بعده
AIND-D02251_559687930811.xml	AIND-D02251	possible_identity	ar	尾部語	الماضي	ويحرر مع بيبرس الركني الماضي
AIND-D02317_639211934785.xml	AIND-D02317	successor	ar	尾部語	الماضي	برد بك الماضي
AIND-D02317_639211934785.xml	AIND-D02317	brother	ar	尾部語	اخوه,جده	أخوه طرباي الأشرفي قايتباي — استخلفه حين سفره بعد قضاء أمر جدة سنة896
AIND-D02322_350924837959.xml	AIND-D02322	possible_identity	ar	尾部語	الماضي,قريبا	وأظنه الماضي قريبا
AIND-D02333_411561890915.xml	AIND-D02333	father	ar	尾部語	ابوه	وسيأتي أبوه
AIND-D02359_141259969708.xml	AIND-D02359	patron	ar	尾部語	استاذه	استاذه
AIND-D02387_129868240130.xml	AIND-D02387	patron	ar	尾部語	استاذه	أستاذه (الأشرف اينال)
AIND-D02395_328992822544.xml	AIND-D02395	relative	ar	尾部語	قريب	قريب سلطان الوقت
AIND-D02398_182045381906.xml	AIND-D02398	patron	ar	尾部語	استاذه	أستاذه (المؤيد شيخ)
AIND-D02400_881995027732.xml	AIND-D02400	father	ar	尾部語	الماضي,والد	والد بداق الماضي
AIND-D02430_123618727251.xml	AIND-D02430	uncle	ar	尾部語	اخت	ابن اخت الاشرف قايتباي
AIND-D02430_123618727251.xml	AIND-D02430	patron	ar	尾部語	استاذه	امره استاذه عشرة
AIND-D02452_634040358261.xml	AIND-D02452	patron	ar	尾部語	استاذه	أستاذه الظاهر برقوق
AIND-D02458_592420279689.xml	AIND-D02458	patron	ar	尾部語	الاتي	فتى علي بن الزكي أبي بكر الآتي
AIND-D02463_171500901776.xml	AIND-D02463	patron	ar	尾部語	سيده	سيده عجلان بن رميثة صاحب مكة
AIND-D02463_171500901776.xml	AIND-D02463	educator_of	ar	尾部語	سيده	المربي لولد سيده علي
AIND-D02463_171500901776.xml	AIND-D02463	educator_of	ar	尾部語	سيده	المربي لولد سيده حسن
AIND-D02476_462560433569.xml	AIND-D02476	patron	ar	尾部語	الاتي	مولى السيد محمد بن جعفر بن علي (الآتي)
AIND-D02481_822368802216.xml	AIND-D02481	other	en	非アラビア文字		brother-in-law
AIND-D02481_822368802216.xml	AIND-D02481	other	en	非アラビア文字		son-in-law
AIND-D02489_876445963702.xml	AIND-D02489	other	en	非アラビア文字		Wrote commendations (taqrīẓ) on some of Jaʿfar's works.
AIND-D02493_524321560005.xml	AIND-D02493	father	ar	尾部語	الاتي	يوسف بن شاهين الكركي (الآتي)
AIND-D02496_604663453125.xml	AIND-D02496	brother	ar	尾部語	الاتي	راجح (الآتي)
AIND-D02496_604663453125.xml	AIND-D02496	father	ar	尾部語	الاتي	وأبوهما (الآتي) شميلة بن محمد بن سالم
AIND-D02498_439378515407.xml	AIND-D02498	patron	ar	尾部語	استاذه	الظاهري برقوق | أستاذه
AIND-D02500_812940006866.xml	AIND-D02500	patron	ar	尾部語	استاذه	أستاذه يشبك الشعباني
AIND-D02521_869445670396.xml	AIND-D02521	spouse	ar	尾部語	فتاه	فتاة يحيى بن فهد
AIND-D02527_877846861313.xml	AIND-D02527	other	ar	尾部語	اخته	صاهر البدر بن الامانة على أخته
AIND-D02588_942099404427.xml	AIND-D02588	teacher	ar	尾部語	شيخنا	شيخنا
AIND-D02588_942099404427.xml	AIND-D02588	friend	ar	尾部語	شيخنا	شيخنا
AIND-D02633_173765826248.xml	AIND-D02633	other	ja	非アラビア文字		婿（義兄弟）
AIND-D02633_173765826248.xml	AIND-D02633	other	ar	尾部語	صهر	صهر بلديه البدر حسن بن علي بن حسن
AIND-D02649_919928313590.xml	AIND-D02649	teacher	ar	尾部語	قريبه	قريبه نور الدين (الزمزمي)
AIND-D02649_919928313590.xml	AIND-D02649	teacher	ar	尾部語	قريبه	قريبه الجمال محمد بن أبي الفتح
AIND-D02659_395153774346.xml	AIND-D02659	other	ja	非アラビア文字		娘婿
AIND-D02659_395153774346.xml	AIND-D02659	other	ar	尾部語	ابنته	صاهره الشمس بن خليل على ابنته
AIND-D02666_358076127003.xml	AIND-D02666	possible_identity	ar	尾部語	ابوه,حفيد,صاحبنا,ممن	قال في ترجمة حسن بن علي الشرف بن العلاء السمرقندي: وسيأتي فيمن لم يسم أبوه ممن اسمه حسين بالتصغير شخص يكنى شرف الدين أصب
AIND-D02678_583696127789.xml	AIND-D02678	other	en	非アラビア文字		son-in-law
AIND-D02678_583696127789.xml	AIND-D02678	other	ar	尾部語	ابنته,شيخنا	صاهره شيخنا الشهاب الشوايطي على ابنته خديجة
AIND-D02704_513626085252.xml	AIND-D02704	patron	en	非アラビア文字		husband of his wife's daughter (step-son-in-law); patron
AIND-D02704_513626085252.xml	AIND-D02704	patron	ar	尾部語	زوج,صهره	صهره زوج ابنة امرأته ازبك الدوادار
AIND-D02709_946201433995.xml	AIND-D02709	brother	ar	尾部語	الذي,قبله	شقيق الذي قبله
AIND-D02727_752248428461.xml	AIND-D02727	brother	ar	尾部語	اخو,الماضي	أخو حسن الماضي
AIND-D02743_527047498363.xml	AIND-D02743	father	ar	尾部語	ابوه	وقد مضى أبوه حسن بن محمد بن صبرة
AIND-D02744_762496471760.xml	AIND-D02744	cousin	ar	尾部語	الماضي,عمه	الماضي ابن عمه حسن بن عمر بن عبد العزيز
AIND-D02744_762496471760.xml	AIND-D02744	father	ar	尾部語	ابوه,والاتي	والآتي أبوه
AIND-D02744_762496471760.xml	AIND-D02744	maternal_grandfather	ar	尾部語	سبط,وهو	وهو سبط النور المحلي
AIND-D02747_862595204615.xml	AIND-D02747	father	ar	尾部語	ابوه,الاتي	الآتي أبوه أسمعه أبوه بمكة بقراءته وقراءة غيره
AIND-D02773_338950101015.xml	AIND-D02773	teacher	ar	尾部語	ابوه	أبوه
AIND-D02790_628055087170.xml	AIND-D02790	possible_identity	ar	尾部語	الذي,قبله	قلت وأظنه الذي قبله
AIND-D02921_440833939815.xml	AIND-D02921	brother-in-law	ar	尾部語	اخي,صهر	صهر أخي أبي بكر
AIND-D02938_801791547797.xml	AIND-D02938	patron	ar	尾部語	جده	جانبك نائب جدة
AIND-D02946_566478510507.xml	AIND-D02946	successor	en	非アラビア文字		Succeeded his father as the ruler of Ethiopia.
AIND-D02982_840949570045.xml	AIND-D02982	met	ar	尾部語	شيخنا	وقد لقيه شيخنا في سنة آمد
AIND-D02995_518009133594.xml	AIND-D02995	spouse	ar	尾部語	اخي,صهر	ابنة صهر أخي الوسط
AIND-D02995_518009133594.xml	AIND-D02995	other	ar	尾部語	اخي	أخي الوسط
AIND-D03010_499193485871.xml	AIND-D03010	uncle	ar	尾部語	عم,وهو	وهو عم محمد بن إسماعيل بن عمر العمريطي
AIND-D03012_656026901041.xml	AIND-D03012	father of daughter-in-law	ar	尾部語	شيخنا	يحيى ابن شيخنا الرشيدي
AIND-D03012_656026901041.xml	AIND-D03012	daughter-in-law	ar	尾部語	شيخنا	ابنة يحيى ابن شيخنا الرشيدي
AIND-D03061_435733666458.xml	AIND-D03061	spouse	ar	尾部語	اخت	ابنة أخت الشمس بن الزمن
AIND-D03261_816664550486.xml	AIND-D03261	patron	ar	尾部語	ممن	ممن رقاه الأشرف قايتباي للامرة وغيرها
AIND-D03263_955525373021.xml	AIND-D03263	successor	ar	尾部語	بعده	واستقر بعده ازدمر قصبة
AIND-D03283_864718691463.xml	AIND-D03283	other	ar	尾部語	جده	وورثه الشهاب أحمد بن علي بن اينال لكونه مولى لأبيه أو جده
AIND-D03287_647684430986.xml	AIND-D03287	patron	ar	尾部語	بعده	خدم الاشرف فمن بعده
AIND-D03287_647684430986.xml	AIND-D03287	possible_identity	ar	尾部語	الماضي,قريبا	وأظنه شاهين الحسنى الماضي قريبا وأحد التاريخين غلط
AIND-D03293_266883570841.xml	AIND-D03293	patron	ar	尾部語	ممن	ممن أنشأه المؤيد إلى أن صيره أحد المقدمين
AIND-D03310_761123577027.xml	AIND-D03310	uncle	en	非アラビア文字		maternal uncle (khāl)
AIND-D03310_761123577027.xml	AIND-D03310	uncle	ar	尾部語	اخت	ابن أخت علي بن صدقة
AIND-D03322_111715294434.xml	AIND-D03322	other	ja	非アラビア文字		義父
AIND-D03338_946415344891.xml	AIND-D03338	other	ja	非アラビア文字		義父
AIND-D03375_365252582744.xml	AIND-D03375	daughter	ar	尾部語	ابنته	ابنته
AIND-D03404_622287920537.xml	AIND-D03404	possible_identity	ar	尾部語	الماضي,قريبا	أظنه أخا ضغيم الماضي قريبا
AIND-D03407_683763834278.xml	AIND-D03407	brother	ar	尾部語	الاتي	محمد الآتي
AIND-D03408_355391774120.xml	AIND-D03408	father	ar	尾部語	الاتي	أبو بكر بن محمد بن أبي بكر الناشري (الآتي)
AIND-D03416_258482380215.xml	AIND-D03416	student	ar	尾部語	حفيد,صاحبنا	صاحبنا الشهاب حفيد البيجوري
AIND-D03418_799488875962.xml	AIND-D03418	brother	ar	尾部語	اخوه	أخوه تنم
AIND-D03424_947052879298.xml	AIND-D03424	patron	ar	尾部語	سيده	سيده الجلال البلقيني
AIND-D03424_947052879298.xml	AIND-D03424	patron	ar	尾部語	اخو,سيده	العلي البلقيني (أخو سيده)
AIND-D03442_750449073644.xml	AIND-D03442	patron	en	非アラビア文字		master (he was his dawādār)
AIND-D03442_750449073644.xml	AIND-D03442	patron	ar	尾部語	الماضي,قريبا	دوادار طوخ الأبو بكري الماضي قريبا
AIND-D03448_111090343419.xml	AIND-D03448	patron	ar	尾部語	الماضي,قريبا,وهو	وهو أستاذ طوغان أميرآخور الماضي قريبا
AIND-D03563_685198286565.xml	AIND-D03563	brother	ar	尾部語	الاتي	محمد الآتي
AIND-D03576_635307040498.xml	AIND-D03576	possible_identity	ar	尾部語	جده	وأظنه الأول وقع الغلط أحد الموضعين في جده
AIND-D03578_614759145209.xml	AIND-D03578	grandfather	en	非アラビア文字		maternal grandfather (sibṭ)
AIND-D03578_614759145209.xml	AIND-D03578	grandfather	ar	尾部語	سبط	سبط الجمال بن جماعة
AIND-D03584_991625748237.xml	AIND-D03584	brother	ar	尾部語	الذي,قبله	الذي قبله
AIND-D03593_376757559075.xml	AIND-D03593	brother	ar	尾部語	اخو,الاتي	أخو عمر الآتي
AIND-D03604_858867638073.xml	AIND-D03604	student	ar	尾部語	اخي	فقرأ عليه ابن أخي الفخر عثمان المقسي
AIND-D03634_423591157633.xml	AIND-D03634	brother	ar	尾部語	اخو,الماضي	أخو أحمد الماضي
AIND-D03634_423591157633.xml	AIND-D03634	brother	ar	尾部語	الاتي	وعبد الله الآتي
AIND-D03634_423591157633.xml	AIND-D03634	brother	ar	尾部語	الاتي	وعبد الكبير الآتي
AIND-D03652_918992986029.xml	AIND-D03652	student	ar	尾部語	سبط,شيخنا	سبط شيخنا
AIND-D03713_336047644751.xml	AIND-D03713	student	ar	尾部語	صاحبنا	أخذ عنه بلديه صاحبنا الجلال السمنودي الميقات
AIND-D03819_983023231253.xml	AIND-D03819	student	ar	尾部語	شيخنا	أخذ عنه السبع شيخنا الشهاب الشوايطي
AIND-D03834_932595114312.xml	AIND-D03834	cousin	ar	尾部語	عم	ابن عم محيي الدين يحيى الدمشقي
AIND-D03842_585449349475.xml	AIND-D03842	father	ar	尾部語	ابوه	أبوه
AIND-D03850_776583782768.xml	AIND-D03850	father	ar	尾部語	ابيه	قدم مكة مع أبيه
AIND-D03853_553727828344.xml	AIND-D03853	father-in-law	ar	尾部語	زوج,والد,وهو	وهو والد زوج القاضي شمس الدين بن بيرم الحنبلي
AIND-D03853_553727828344.xml	AIND-D03853	deputy	ar	尾部語	بعده	ناب في القضاء عن البدر أبي السعادات فمن بعده
AIND-D03894_643364299248.xml	AIND-D03894	other	ar	尾部語	ممن	ممن قرض للبدري مجموعه
AIND-D03916_182154437141.xml	AIND-D03916	teacher	ar	尾部語	ممن	ممن أخذ عن العلاء البخاري
AIND-D03916_182154437141.xml	AIND-D03916	father-in-law	ar	尾部語	ابنته,التي	وصاهر عبد الكريم باني المدرسة التي بباب قنسرين على ابنته
AIND-D03931_364011070010.xml	AIND-D03931	teacher	ar	尾部語	ابيه	فسمع على أبيه
AIND-D03931_364011070010.xml	AIND-D03931	father	ar	尾部語	ابوه	أبوه
AIND-D03931_364011070010.xml	AIND-D03931	brother	ar	尾部語	اخو,الذي,قبله	أخو الذي قبله
AIND-D03936_105423839812.xml	AIND-D03936	son	ar	尾部語	ولده	ولده
AIND-D03938_653996859984.xml	AIND-D03938	spouse	ar	尾部語	زوجه	ابنة السلاوي زوجة مخدومه التقي
AIND-D03942_693926634070.xml	AIND-D03942	colleague	ar	尾部語	اخي	أحمد بن عبد الله بن عبد القادر ابن أخي المسمع
AIND-D04002_882187969226.xml	AIND-D04002	uncle	ar	尾部語	الماضي	الماضي سميه
AIND-D04004_876345303756.xml	AIND-D04004	mother	ar	尾部語	ابيه,فتاه	حبشية فتاة أبيه
AIND-D04013_708552172262.xml	AIND-D04013	sister	ar	尾部語	زوج	زوج تغري بردى الاستادار
AIND-D04040_208167510817.xml	AIND-D04040	uncle	ar	尾部語	الماضي	الشهاب أحمد الماضي
AIND-D04045_825749414694.xml	AIND-D04045	brother	ar	尾部語	الماضي	إبراهيم الماضي
AIND-D04045_825749414694.xml	AIND-D04045	predecessor	ar	尾部語	اخاه	وخلف أخاه في قضاء بلده وخطابتها
AIND-D04048_870385197865.xml	AIND-D04048	father	ar	尾部語	ابوه,الماضي	عبد البر بن محمد بن محمد بن محمد بن الشحنة (الماضي أبوه)
AIND-D04048_870385197865.xml	AIND-D04048	grandfather	ar	尾部語	حفيد	المحب القاضي (حفيد المحب القاضي)
AIND-D04060_300341535549.xml	AIND-D04060	son	ar	尾部語	والد	شاكر (والد شاكر واخوته)
AIND-D04060_300341535549.xml	AIND-D04060	grandfather	ar	尾部語	الذي,جد,قبله	جد الذي قبله
AIND-D04064_938756547395.xml	AIND-D04064	siblings_child	ar	尾部語	قريب	قريب النجم بن النبيه الموقع
AIND-D04071_980292739919.xml	AIND-D04071	father	ar	尾部語	ابوه,الاتي	أبو الفضل محمد (الآتي أبوه)
AIND-D04071_980292739919.xml	AIND-D04071	grandfather	ar	尾部語	الاتي,جده	محمد بن إبراهيم (الآتي جده)
AIND-D04076_969999917913.xml	AIND-D04076	student	ar	尾部語	وهو	سمعت منه وهو بمنزلي أشياء من نظمه على طريقة العوام
AIND-D04076_969999917913.xml	AIND-D04076	son	ar	尾部語	الماضي	عبد الرحمن (الماضي ابنه)
AIND-D04086_338501313415.xml	AIND-D04086	student	ar	尾部語	ممن,وهو	وهو ممن أخذ عنه (قاضي الركب)
AIND-D04087_892891833224.xml	AIND-D04087	teacher	ar	尾部語	ممن	ممن اشتغل عند القاضي محمد بن عبد السلام
AIND-D04092_146498659219.xml	AIND-D04092	father	ar	尾部語	ابوه,الماضي	إبراهيم بن علي البرهان (الماضي أبوه)
AIND-D04092_146498659219.xml	AIND-D04092	colleague	ar	尾部語	ابيه	قرأ مع أبيه في الجوق بل شاركه في إقراء الأبناء
AIND-D04095_335166841755.xml	AIND-D04095	father	ar	尾部語	الماضي	أحمد بن إسماعيل بن عبد الله الدمشقي الماضي
AIND-D04097_578222564257.xml	AIND-D04097	father	ar	尾部語	ابوه,الماضي	الماضي أبوه
AIND-D04097_578222564257.xml	AIND-D04097	son	ar	尾部語	والاتي	والآتي ابنه أحمد
AIND-D04097_578222564257.xml	AIND-D04097	father-in-law	ar	尾部語	ابنته	وصاهر العلم البلقيني على ابنته
AIND-D04098_612355810212.xml	AIND-D04098	teacher	ar	尾部語	ابيه	أجاز له أبو الخير بن العلائي باستدعاء أبيه
AIND-D04098_612355810212.xml	AIND-D04098	father	ar	尾部語	ابوه,الماضي	الماضي أبوه ويعرف بابن رسلان
AIND-D04101_630726861734.xml	AIND-D04101	father	ar	尾部語	الماضي	أحمد بن محمد بن حمزة المدني الماضي
AIND-D04102_831076180901.xml	AIND-D04102	brother	ar	尾部語	اخوه,الاتي	الآتي أخوه الجمال محمد
AIND-D04104_924059706284.xml	AIND-D04104	father	ar	尾部語	والده	أحمد بن محمد الجرمكي البرددار والده لنقيب الأشراف
AIND-D04105_244599235501.xml	AIND-D04105	father	ar	尾部語	الماضي	الشيخ أحمد بن محمد الصندلي الماضي
AIND-D04107_442280977328.xml	AIND-D04107	father	ar	尾部語	والده	الشهابي المناوي الخياط والده
AIND-D04108_495817073584.xml	AIND-D04108	maternal_grandfather	ar	尾部語	سبط	سبط الزين العراقي
AIND-D04112_481996841910.xml	AIND-D04112	sister	ar	尾部語	اخو	أخو خديجة
AIND-D04112_481996841910.xml	AIND-D04112	cousin	ar	尾部語	عم	ابن عم علي بن غازي
AIND-D04114_959233139646.xml	AIND-D04114	teacher	ar	尾部語	شيخنا	كان يذكر أنه سمع من شيخنا وليس ببعيد
AIND-D04118_624145998788.xml	AIND-D04118	brother	ar	尾部語	اخو,الماضي	أخو أحمد الماضي
AIND-D04120_140542747589.xml	AIND-D04120	father	ar	尾部語	والده	خليل، والخباز والده
AIND-D04122_941935829962.xml	AIND-D04122	maternal_grandfather	ar	尾部語	الاتي,سبط	سبط الشمس محمد بن أحمد بن محمد ابن أحمد البيري الآتي
AIND-D04126_964908032979.xml	AIND-D04126	cousin	ar	尾部語	الذي,عم,قبله	ابن عم الذي قبله
AIND-D04132_511566685158.xml	AIND-D04132	brother	ar	尾部語	اخو	أخو محمد
AIND-D04140_302887478265.xml	AIND-D04140	father	ar	尾部語	ابوه,الاتي	الآتي أبوه
AIND-D04145_860725715974.xml	AIND-D04145	son	ar	尾部語	الاتي,والد	والد عبد اللطيف الآتي
AIND-D04145_860725715974.xml	AIND-D04145	son	ar	尾部語	الاتي	وأبي سعد الآتي
AIND-D04147_893063799819.xml	AIND-D04147	father	ar	尾部語	ابوه,الاتي	الآتي أبوه
AIND-D04147_893063799819.xml	AIND-D04147	relative	ar	尾部語	اخت	ويعرف بابن أخت مهني
AIND-D04150_517224801300.xml	AIND-D04150	father	ar	尾部語	ابوه	علي، والخياط أبوه
AIND-D04159_323879969831.xml	AIND-D04159	uncle	ar	尾部語	الماضي	وعم إسماعيل بن علي الماضي
AIND-D04159_323879969831.xml	AIND-D04159	met	ar	尾部語	التي	وقد اجتمع بي في سنة ست وتسعين أو التي بعدها
AIND-D04163_724297589804.xml	AIND-D04163	teacher	ar	尾部語	والده	أحضر في الأولى مع والده على ابن الجزري
AIND-D04163_724297589804.xml	AIND-D04163	father	ar	尾部語	ابوه,الاتي	الآتي أبوه
AIND-D04165_150692963372.xml	AIND-D04165	father	ar	尾部語	ابوه,الاتي	الآتي أبوه
